IP,延迟(ms),丢包率(%),速度(Mbps)
172.67.133.208,13.62,0.00,39.49
198.41.192.47,12.80,0.00,37.55
172.67.173.111,12.98,0.00,37.47
172.66.214.110,13.14,0.00,37.65
104.24.63.147,12.76,0.00,37.23
104.16.117.46,13.15,0.00,36.92
104.24.203.14,13.18,0.00,39.49
104.25.122.203,13.31,0.00,36.28
188.114.96.224,12.66,0.00,36.30
172.67.99.89,13.59,0.00,35.37
104.24.76.80,12.74,0.00,35.76
198.41.196.91,13.12,0.00,34.38
104.19.141.248,13.20,0.00,34.15
172.65.234.136,12.98,0.00,33.82
104.19.72.103,13.12,0.00,33.38
104.25.188.185,13.17,0.00,33.60
141.101.123.181,13.13,0.00,36.37
108.162.192.44,12.49,0.00,40.60
198.41.195.13,12.74,0.00,33.36
104.25.193.209,13.35,0.00,33.25
198.41.221.147,12.95,0.00,37.02
104.16.112.7,13.04,0.00,34.07
104.24.76.233,13.16,0.00,36.33
104.19.71.154,12.79,0.00,35.24
104.24.148.249,12.87,0.00,36.08
104.17.61.223,12.78,0.00,32.32
188.114.99.199,14.74,0.00,31.88
104.25.179.83,13.39,0.00,32.21
172.66.199.224,13.32,0.00,35.00
104.18.88.55,12.72,0.00,34.57
104.20.9.41,13.16,0.00,31.38
104.25.68.218,13.25,0.00,31.17
188.114.97.211,13.12,0.00,31.01
188.114.98.81,13.45,0.00,30.60
162.159.13.68,15.67,0.00,30.27
104.17.2.103,12.88,0.00,33.08
104.25.74.149,13.23,0.00,29.89
141.101.121.206,15.76,0.00,29.70
172.64.68.209,15.76,0.00,29.79
104.17.107.227,15.17,0.00,29.38
190.93.246.110,13.41,0.00,29.44
104.25.92.37,12.75,0.00,30.79
104.18.170.185,13.17,0.00,29.13
104.18.144.234,13.31,0.00,28.95
162.159.58.200,13.08,0.00,28.23
104.17.222.197,13.28,0.00,28.51
198.41.217.114,13.23,0.00,32.71
108.162.192.231,12.98,0.00,27.62
104.17.25.249,13.70,0.00,26.96
141.101.121.133,12.75,0.00,29.17
198.41.195.224,12.92,0.00,36.91
141.101.115.156,12.94,0.00,38.43
104.24.193.217,12.78,0.00,39.02
104.25.141.253,13.52,0.00,38.54
172.67.29.52,13.36,0.00,44.47
104.24.28.187,12.74,0.00,36.04
104.27.198.180,13.14,0.00,35.46
162.159.136.193,12.96,0.00,41.44
104.25.96.230,13.10,0.00,39.91
104.21.21.90,12.66,0.00,35.10
104.25.199.206,13.39,0.00,36.40
104.25.46.172,13.38,0.00,38.76
173.245.49.58,14.05,0.00,43.40
104.20.90.43,12.81,0.00,37.52
162.159.15.162,13.22,0.00,35.11
172.65.236.156,12.98,0.00,34.57
173.245.58.57,13.06,0.00,40.70
104.25.219.239,12.61,0.00,38.11
198.41.222.158,12.96,0.00,37.52
198.41.221.250,12.66,0.00,42.39
104.25.172.112,12.93,0.00,38.45
173.245.58.159,13.09,0.00,36.93
104.24.26.69,12.79,0.00,35.83
104.19.137.52,13.16,0.00,38.13
108.162.196.113,12.78,0.00,37.33
104.20.197.40,13.15,0.00,35.41
104.24.84.38,12.95,0.00,40.21
104.25.182.149,12.73,0.00,39.30
190.93.244.70,14.51,0.00,38.33
172.67.93.42,13.21,0.00,35.97
104.17.114.148,13.21,0.00,33.07
198.41.199.50,12.87,0.00,32.13
104.24.181.153,13.30,0.00,37.19
104.16.137.211,13.24,0.00,39.29
172.65.187.253,12.61,0.00,33.34
141.101.122.209,12.77,0.00,34.68
108.162.192.6,12.82,0.00,37.33
104.16.25.135,12.98,0.00,33.00
104.22.44.86,13.41,0.00,34.77
173.245.59.41,13.07,0.00,36.15
104.21.22.229,13.02,0.00,39.38
104.25.32.93,13.09,0.00,42.03
141.101.120.168,13.31,0.00,36.28
108.162.198.81,12.71,0.00,38.35
104.25.223.86,12.87,0.00,31.27
162.159.160.87,100.48,0.00,35.01
172.67.140.255,13.04,0.00,37.88
104.24.44.236,13.16,0.00,33.73
104.25.38.138,13.82,0.00,34.74
173.245.59.1,13.05,0.00,33.50
198.41.222.47,12.65,0.00,41.28
104.25.144.13,12.86,0.00,43.39
104.16.7.214,13.16,0.00,38.05
104.17.115.236,12.72,0.00,42.05
104.20.173.161,13.44,0.00,47.15
108.162.196.166,13.01,0.00,37.99
172.67.219.15,13.36,0.00,37.51
190.93.245.119,12.92,0.00,38.97
172.65.237.4,13.08,0.00,38.58
104.21.215.105,13.09,0.00,39.56
104.16.216.192,13.65,0.00,37.04
198.41.211.209,12.95,0.00,37.06
104.19.237.236,13.27,0.00,38.26
188.114.96.34,13.11,0.00,39.09
141.101.115.160,13.05,0.00,42.01
188.114.99.7,13.18,0.00,37.05
104.25.110.99,13.68,0.00,36.85
104.25.145.174,13.00,0.00,32.84
104.24.71.158,13.31,0.00,37.69
104.27.54.184,12.99,0.00,34.27
104.19.16.207,13.20,0.00,37.60
190.93.246.187,13.01,0.00,38.36
104.24.34.74,13.24,0.00,40.73
104.18.132.95,13.02,0.00,35.12
104.18.131.36,13.23,0.00,40.88
104.25.166.37,12.81,0.00,38.28
198.41.201.235,13.39,0.00,37.92
172.65.16.222,13.02,0.00,32.74
172.65.0.89,12.93,0.00,35.99
190.93.244.97,12.87,0.00,42.93
104.27.123.117,12.94,0.00,35.83
188.114.99.170,13.80,0.00,36.75
104.17.174.80,13.48,0.00,36.10
172.64.89.241,13.13,0.00,37.05
162.159.6.73,13.54,0.00,37.45
172.64.229.200,13.32,0.00,36.26
190.93.247.66,12.72,0.00,37.53
190.93.244.229,13.07,0.00,33.58
104.23.96.79,12.84,0.00,38.03
104.25.155.35,13.12,0.00,34.90
104.27.55.171,13.36,0.00,34.78
104.22.33.0,13.89,0.00,33.98
104.24.221.49,13.46,0.00,38.38
162.159.14.65,13.03,0.00,38.79
162.159.250.131,13.54,0.00,35.24
190.93.246.238,13.47,0.00,34.00
104.21.19.241,13.21,0.00,33.21
104.27.41.75,12.82,0.00,38.77
172.64.154.4,12.90,0.00,34.53
141.101.90.133,12.93,0.00,34.30
108.162.198.167,12.82,0.00,43.75
104.27.110.30,12.77,0.00,34.87
104.25.222.143,13.23,0.00,36.01
198.41.222.122,12.85,0.00,37.77
188.114.99.43,12.94,0.00,35.66
104.17.187.188,13.15,0.00,37.65
172.65.85.22,12.80,0.00,41.57
104.27.42.19,12.78,0.00,38.84
188.114.97.72,12.61,0.00,40.51
162.159.40.234,13.24,0.00,40.82
162.159.138.0,12.76,0.00,36.74
172.64.42.0,13.20,0.00,36.33
104.20.188.69,12.97,0.00,42.28
104.17.242.253,13.24,0.00,35.47
104.16.66.187,13.03,0.00,36.99
104.27.107.147,13.14,0.00,35.61
104.27.73.84,12.79,0.00,38.56
172.65.218.245,13.19,0.00,42.80
198.41.195.83,13.39,0.00,35.03
104.25.192.49,13.12,0.00,42.10
198.41.215.96,13.30,0.00,42.21
172.67.196.231,13.07,0.00,37.29
108.162.198.148,12.82,0.00,37.54
104.19.116.59,12.90,0.00,37.91
104.25.73.203,12.97,0.00,36.54
104.27.70.241,13.06,0.00,42.06
162.159.137.79,12.88,0.00,34.14
104.24.216.250,13.16,0.00,35.23
104.22.8.25,13.02,0.00,45.54
104.24.56.172,13.25,0.00,34.96
104.24.40.155,13.26,0.00,37.11
104.24.203.171,12.63,0.00,35.09
104.27.11.149,13.50,0.00,39.31
188.114.97.126,13.07,0.00,36.39
104.22.72.219,13.05,0.00,34.79
104.20.23.244,13.62,0.00,41.83
104.25.132.29,13.26,0.00,35.72
188.114.96.102,13.44,0.00,36.77
198.41.223.68,13.11,0.00,37.52
162.159.134.146,12.93,0.00,36.46
