IP,延迟(ms),丢包率(%),速度(Mbps)
172.64.92.76,11.72,0.00,39.74
104.16.9.214,16.37,0.00,38.83
104.16.98.27,16.39,0.00,37.92
104.17.76.174,16.62,0.00,37.15
104.16.135.150,16.43,0.00,36.97
104.25.37.106,10.92,0.00,36.80
104.25.252.205,11.61,0.00,36.60
104.17.242.200,17.67,0.00,36.62
104.17.120.120,16.36,0.00,42.87
141.101.115.53,16.54,0.00,36.26
190.93.247.220,16.29,0.00,36.20
104.16.170.161,16.22,0.00,36.04
104.16.36.79,16.58,0.00,37.46
188.114.96.168,16.44,0.00,35.55
190.93.245.20,16.16,0.00,35.62
104.22.23.53,11.71,0.00,34.42
104.16.102.216,16.24,0.00,36.24
104.16.32.150,16.45,0.00,45.29
104.16.62.185,16.37,0.00,38.76
104.18.82.69,16.57,0.00,37.78
190.93.244.92,16.11,0.00,35.99
190.93.244.29,16.15,0.00,34.00
104.19.199.168,11.98,0.00,34.25
190.93.247.229,17.67,0.00,32.71
104.18.96.244,16.34,0.00,36.05
104.18.91.39,16.47,0.00,32.44
141.101.122.0,10.34,0.00,32.14
190.93.244.122,16.54,0.00,35.68
172.64.38.173,12.37,0.00,31.52
162.159.237.55,16.21,0.00,33.07
172.65.97.172,13.39,0.00,30.66
108.162.198.55,16.45,0.00,30.71
108.162.198.130,16.37,0.00,30.75
104.16.246.8,16.43,0.00,32.90
190.93.247.167,18.27,0.00,32.12
104.27.111.159,13.42,0.00,30.09
198.41.204.196,14.43,0.00,29.92
104.17.74.31,16.13,0.00,30.21
104.19.166.167,16.36,0.00,30.03
104.17.132.206,16.27,0.00,29.86
188.114.96.190,15.99,0.00,33.94
104.25.87.19,10.71,0.00,30.94
190.93.244.127,16.86,0.00,32.46
141.101.114.76,16.50,0.00,29.16
104.17.89.111,16.57,0.00,33.27
173.245.49.122,10.77,0.00,28.52
104.24.6.10,11.11,0.00,28.12
104.17.78.65,17.00,0.00,32.04
103.21.244.209,53.61,0.00,33.49
198.41.208.250,16.79,0.00,33.93
190.93.244.83,16.37,0.00,46.19
104.16.139.171,16.19,0.00,39.92
190.93.244.118,16.71,0.00,38.89
104.17.193.145,16.50,0.00,41.89
190.93.246.193,16.32,0.00,35.53
104.19.151.138,16.31,0.00,36.39
190.93.247.49,16.34,0.00,37.92
162.159.34.207,33.53,0.00,39.45
108.162.198.238,16.11,0.00,37.26
104.16.151.213,16.36,0.00,37.54
104.17.216.175,16.27,0.00,37.89
104.17.190.245,16.30,0.00,40.10
190.93.246.119,16.52,0.00,42.10
103.21.244.22,54.24,0.00,47.19
190.93.245.166,16.71,0.00,42.39
103.21.244.42,54.19,0.00,45.89
104.19.166.9,16.29,0.00,40.95
188.114.96.22,16.26,0.00,36.86
104.17.167.42,17.08,0.00,45.34
190.93.246.64,16.35,0.00,37.38
104.16.69.109,16.28,0.00,37.12
104.17.196.150,16.86,0.00,46.21
104.19.184.21,16.24,0.00,40.90
190.93.247.137,16.41,0.00,34.98
103.21.244.92,53.55,0.00,37.16
188.114.97.62,16.81,0.00,40.15
190.93.245.130,16.52,0.00,44.61
141.101.115.104,16.31,0.00,36.60
188.114.96.66,16.58,0.00,42.33
104.17.127.163,16.33,0.00,45.34
190.93.246.35,16.38,0.00,41.29
104.16.30.94,16.40,0.00,41.60
104.17.41.15,18.52,0.00,39.43
104.17.99.143,16.75,0.00,45.08
190.93.246.237,16.69,0.00,43.24
104.19.189.189,16.48,0.00,47.06
104.17.164.41,16.62,0.00,44.90
141.101.114.239,16.75,0.00,39.32
190.93.244.111,16.07,0.00,38.14
188.114.97.168,16.30,0.00,45.20
104.16.169.202,16.12,0.00,52.67
104.17.186.60,16.44,0.00,46.72
141.101.114.126,16.57,0.00,44.38
188.114.97.41,16.95,0.00,49.06
104.18.136.224,16.10,0.00,44.63
190.93.245.163,16.44,0.00,49.29
104.18.152.103,16.45,0.00,44.94
104.25.94.177,23.50,0.00,45.33
141.101.114.26,16.52,0.00,47.39
188.114.96.120,17.09,0.00,52.91
104.18.254.205,16.74,0.00,261.48
103.21.244.36,53.77,0.00,104.65
