IP,延迟(ms),丢包率(%),速度(Mbps)
162.159.243.116,13.46,0.00,151.85
104.21.228.13,12.94,0.00,129.43
188.114.99.130,12.63,0.00,121.48
172.65.215.134,13.02,0.00,121.08
104.16.249.252,13.47,0.00,116.89
141.101.114.212,12.60,0.00,106.18
162.159.15.246,12.90,0.00,95.57
104.20.15.248,12.93,0.00,76.11
198.41.195.160,12.99,0.00,54.58
172.65.255.234,13.06,0.00,54.13
104.27.25.216,12.77,0.00,52.43
104.25.15.44,12.85,0.00,50.00
198.41.209.216,12.70,0.00,49.68
172.66.3.0,12.95,0.00,48.70
172.67.56.6,13.18,0.00,48.60
