IP,延迟(ms),丢包率(%),速度(Mbps)
104.18.254.205,16.74,0.00,261.48
103.21.244.36,53.77,0.00,104.65
188.114.96.120,17.09,0.00,52.91
104.16.169.202,16.12,0.00,52.67
190.93.245.163,16.44,0.00,49.29
188.114.97.41,16.95,0.00,49.06
141.101.114.26,16.52,0.00,47.39
103.21.244.22,54.24,0.00,47.19
104.19.189.189,16.48,0.00,47.06
104.17.186.60,16.44,0.00,46.72
104.17.196.150,16.86,0.00,46.21
190.93.244.83,16.37,0.00,46.19
103.21.244.42,54.19,0.00,45.89
104.17.127.163,16.33,0.00,45.34
104.17.167.42,17.08,0.00,45.34
